run_id,master_seed,instance_hash,farmer_id,plot_id,region_season,planned_crop,planned_cash_return,response,p_accept,response_draw,response_subseed,acceptance_provenance,realised_crop,realised_cash_return,status
p1_dev,20260812,5ea24037c2d9cb6a,F0001,F0001-P03,R2:kharif,onion,258775.0,ACCEPT,0.862,0.249229,1120031581,SYNTHETIC_EXPERIMENTAL,onion,258775.0,REALISED
p1_dev,20260812,5ea24037c2d9cb6a,F0003,F0003-P01,R3:kharif,rice,476.0,ACCEPT,0.804,0.743962,1120031581,SYNTHETIC_EXPERIMENTAL,rice,476.0,REALISED
p1_dev,20260812,5ea24037c2d9cb6a,F0004,F0004-P01,R1:kharif,maize,4873.0,ACCEPT,0.876,0.518751,1120031581,SYNTHETIC_EXPERIMENTAL,maize,4873.0,REALISED
p1_dev,20260812,5ea24037c2d9cb6a,F0005,F0005-P01,R2:kharif,soybean,3669.0,ACCEPT,0.878,0.378418,1120031581,SYNTHETIC_EXPERIMENTAL,soybean,3669.0,REALISED
p1_dev,20260812,5ea24037c2d9cb6a,F0005,F0005-P02,R2:kharif,onion,17844.0,ACCEPT,0.878,0.306885,1120031581,SYNTHETIC_EXPERIMENTAL,onion,17844.0,REALISED
p1_dev,20260812,5ea24037c2d9cb6a,F0006,F0006-P01,R1:kharif,maize,18705.0,ACCEPT,0.824,0.749078,1120031581,SYNTHETIC_EXPERIMENTAL,maize,18705.0,REALISED
p1_dev,20260812,5ea24037c2d9cb6a,F0007,F0007-P02,R1:kharif,maize,54285.0,ACCEPT,0.916,0.234715,1120031581,SYNTHETIC_EXPERIMENTAL,maize,54285.0,REALISED
p1_dev,20260812,5ea24037c2d9cb6a,F0010,F0010-P01,R5:kharif,soybean,5025.0,ACCEPT,0.808,0.071182,1120031581,SYNTHETIC_EXPERIMENTAL,soybean,5025.0,REALISED
p1_dev,20260812,5ea24037c2d9cb6a,F0012,F0012-P02,R1:kharif,maize,6540.0,ACCEPT,0.876,0.589064,1120031581,SYNTHETIC_EXPERIMENTAL,maize,6540.0,REALISED
p1_dev,20260812,5ea24037c2d9cb6a,F0013,F0013-P01,R5:kharif,maize,12695.0,ACCEPT,0.822,0.49783,1120031581,SYNTHETIC_EXPERIMENTAL,maize,12695.0,REALISED
