farmer_id,plot_id,crop,area_ha,net_return_c2,budget_cost_a2fl,labour_pd
F0354,F0354-P01,onion,7.071,751911.0,498364.0,765.8
F0138,F0138-P03,groundnut,6.082,405485.0,626410.0,1052.2
F0453,F0453-P01,onion,3.85,409398.0,271348.0,417.0
F0017,F0017-P03,onion,3.55,377497.0,250204.0,384.5
F0017,F0017-P05,onion,3.281,348893.0,231245.0,355.3
F0038,F0038-P02,onion,3.141,334005.0,221378.0,340.2
F0336,F0336-P03,groundnut,3.18,212009.0,327521.0,550.1
F0148,F0148-P01,groundnut,3.06,204009.0,315162.0,529.4
F0017,F0017-P02,onion,2.353,250212.0,165839.0,254.8
F0318,F0318-P03,groundnut,2.726,181741.0,280762.0,471.6
F0222,F0222-P04,groundnut,2.581,172074.0,265828.0,446.5
F0001,F0001-P03,onion,3.466,86775.0,553517.0,595.8
F0318,F0318-P02,groundnut,2.307,153807.0,237607.0,399.1
F0472,F0472-P02,groundnut,2.131,142073.0,219480.0,368.7
F0181,F0181-P02,onion,1.579,167907.0,111288.0,171.0
F0328,F0328-P02,onion,2.736,68498.0,436936.0,470.3
F0245,F0245-P01,onion,1.526,162271.0,107552.0,165.3
F0156,F0156-P02,onion,1.288,136962.0,90778.0,139.5
F0188,F0188-P02,pigeon_pea,3.769,102307.0,118286.0,116.8
F0288,F0288-P03,maize,4.304,74308.0,269581.0,241.0
F0293,F0293-P01,groundnut,1.308,87204.0,134716.0,226.3
F0205,F0205-P01,onion,0.968,102934.0,68225.0,104.8
F0398,F0398-P01,onion,0.946,100595.0,66674.0,102.5
F0330,F0330-P01,groundnut,1.144,76270.0,117825.0,197.9
F0496,F0496-P03,onion,0.885,94108.0,62375.0,95.8
F0160,F0160-P01,groundnut,0.998,66536.0,102788.0,172.7
F0126,F0126-P02,maize,5.549,2181.0,265536.0,294.1
F0367,F0367-P02,onion,0.782,83156.0,55115.0,84.7
F0068,F0068-P01,onion,0.742,78902.0,52296.0,80.4
F0150,F0150-P03,onion,0.738,78477.0,52014.0,79.9
F0084,F0084-P02,maize,2.692,46477.0,168613.0,150.8
F0193,F0193-P01,maize,4.482,1762.0,214477.0,237.5
F0309,F0309-P01,onion,0.64,68056.0,45107.0,69.3
F0027,F0027-P01,maize,2.464,42540.0,154333.0,138.0
F0213,F0213-P01,onion,0.607,64547.0,42781.0,65.7
F0179,F0179-P01,onion,0.603,64121.0,42499.0,65.3
F0138,F0138-P01,groundnut,0.725,48335.0,74671.0,125.4
F0177,F0177-P01,pigeon_pea,1.952,52986.0,61262.0,60.5
F0178,F0178-P01,pigeon_pea,1.943,52742.0,60979.0,60.2
F0106,F0106-P01,onion,0.586,62314.0,41301.0,63.5
F0085,F0085-P01,groundnut,0.7,46669.0,72096.0,121.1
F0154,F0154-P01,maize,2.265,39105.0,141868.0,126.8
F0189,F0189-P01,onion,0.532,56571.0,37495.0,57.6
F0423,F0423-P01,pigeon_pea,1.727,46878.0,54200.0,53.5
F0078,F0078-P03,maize,3.58,1407.0,171314.0,189.7
F0413,F0413-P02,groundnut,0.612,40802.0,63032.0,105.9
F0428,F0428-P04,maize,1.901,32820.0,119069.0,106.5
F0153,F0153-P03,groundnut,0.558,37202.0,57471.0,96.5
F0079,F0079-P02,onion,0.453,48171.0,31927.0,49.1
F0430,F0430-P01,maize,1.762,30421.0,110363.0,98.7
F0460,F0460-P01,groundnut,0.536,35735.0,55205.0,92.7
F0115,F0115-P03,maize,1.738,30006.0,108860.0,97.3
F0084,F0084-P01,maize,1.727,29816.0,108171.0,96.7
F0129,F0129-P01,onion,0.43,45725.0,30306.0,46.6
F0216,F0216-P01,onion,0.427,45406.0,30095.0,46.2
F0405,F0405-P02,maize,1.691,29195.0,105916.0,94.7
F0428,F0428-P02,maize,1.685,29091.0,105540.0,94.4
F0194,F0194-P01,onion,0.423,44981.0,29813.0,45.8
F0007,F0007-P02,maize,1.66,28660.0,103974.0,93.0
F0071,F0071-P01,maize,1.634,28211.0,102346.0,91.5
F0181,F0181-P01,pigeon_pea,1.359,36889.0,42651.0,42.1
F0129,F0129-P02,pigeon_pea,1.332,36156.0,41803.0,41.3
F0371,F0371-P03,maize,1.523,26294.0,95393.0,85.3
F0496,F0496-P01,maize,2.629,1033.0,125806.0,139.3
F0202,F0202-P03,maize,1.465,25293.0,91760.0,82.0
F0178,F0178-P02,onion,0.353,37537.0,24879.0,38.2
F0291,F0291-P02,onion,0.606,15172.0,96778.0,104.2
F0448,F0448-P01,maize,1.367,23601.0,85622.0,76.6
F0212,F0212-P01,pigeon_pea,1.116,30293.0,35025.0,34.6
F0234,F0234-P01,onion,0.329,34985.0,23188.0,35.6
F0478,F0478-P03,maize,1.245,21495.0,77981.0,69.7
F0374,F0374-P04,maize,1.244,21477.0,77918.0,69.7
F0354,F0354-P02,maize,2.105,827.0,100731.0,111.6
F0374,F0374-P01,maize,1.184,20441.0,74160.0,66.3
F0436,F0436-P01,pigeon_pea,0.977,26520.0,30662.0,30.3
F0492,F0492-P01,onion,0.292,31050.0,20580.0,31.6
F0359,F0359-P01,pigeon_pea,0.942,25570.0,29564.0,29.2
F0415,F0415-P02,maize,1.127,19457.0,70590.0,63.1
F0425,F0425-P01,onion,0.282,29987.0,19875.0,30.5
F0175,F0175-P01,maize,1.945,764.0,93074.0,103.1
F0237,F0237-P01,pigeon_pea,0.913,24783.0,28654.0,28.3
F0126,F0126-P01,maize,1.9,747.0,90921.0,100.7
F0470,F0470-P01,maize,1.896,745.0,90729.0,100.5
F0431,F0431-P02,maize,1.05,18128.0,65767.0,58.8
F0267,F0267-P01,maize,1.037,17904.0,64952.0,58.1
F0345,F0345-P01,soybean,5.774,-60159.0,310162.0,321.0
F0269,F0269-P02,maize,1.008,17403.0,63136.0,56.4
F0115,F0115-P02,maize,1.005,17351.0,62948.0,56.3
F0188,F0188-P03,onion,0.247,26265.0,17409.0,26.8
F0020,F0020-P01,maize,1.715,674.0,82068.0,90.9
F0082,F0082-P02,onion,0.245,26053.0,17268.0,26.5
F0018,F0018-P01,cotton,0.948,10716.0,55084.0,90.1
F0478,F0478-P01,maize,0.966,16678.0,60505.0,54.1
F0156,F0156-P03,maize,1.67,656.0,79915.0,88.5
F0356,F0356-P01,maize,0.95,16402.0,59503.0,53.2
F0147,F0147-P02,onion,0.239,25415.0,16845.0,25.9
F0149,F0149-P01,maize,0.926,15987.0,58000.0,51.9
F0038,F0038-P01,pigeon_pea,0.754,20467.0,23664.0,23.4
F0097,F0097-P02,soybean,5.073,-52855.0,272506.0,282.1
F0375,F0375-P02,maize,0.841,14520.0,52676.0,47.1
F0072,F0072-P02,onion,0.211,22437.0,14871.0,22.9
F0496,F0496-P02,onion,0.21,22331.0,14801.0,22.7
F0280,F0280-P01,onion,0.201,21374.0,14166.0,21.8
F0314,F0314-P01,maize,0.794,13708.0,49732.0,44.5
F0027,F0027-P03,maize,0.786,13570.0,49231.0,44.0
F0193,F0193-P02,maize,1.371,539.0,65606.0,72.7
F0238,F0238-P01,onion,0.196,20842.0,13814.0,21.2
F0346,F0346-P01,maize,0.75,12949.0,46976.0,42.0
F0198,F0198-P01,pigeon_pea,0.616,16721.0,19333.0,19.1
F0245,F0245-P02,maize,1.287,506.0,61587.0,68.2
F0133,F0133-P01,onion,0.314,7861.0,50145.0,54.0
F0158,F0158-P02,rice,3.487,-42331.0,194609.0,278.6
F0376,F0376-P02,maize,0.71,12258.0,44471.0,39.8
F0438,F0438-P02,maize,0.71,12258.0,44471.0,39.8
F0078,F0078-P01,maize,1.229,483.0,58811.0,65.1
F0050,F0050-P03,onion,0.173,18396.0,12193.0,18.7
F0090,F0090-P02,rice,3.329,-40413.0,185791.0,266.0
F0240,F0240-P01,maize,1.178,463.0,56371.0,62.4
F0388,F0388-P01,maize,0.668,11533.0,41840.0,37.4
F0107,F0107-P02,maize,0.658,11360.0,41214.0,36.8
F0111,F0111-P02,maize,0.656,11326.0,41089.0,36.7
F0190,F0190-P01,maize,0.656,11326.0,41089.0,36.7
F0110,F0110-P01,sorghum,1.363,7409.0,43113.0,70.9
F0093,F0093-P01,maize,0.648,11188.0,40587.0,36.3
F0342,F0342-P01,pigeon_pea,0.535,14522.0,16790.0,16.6
F0109,F0109-P02,maize,0.626,10808.0,39210.0,35.1
F0451,F0451-P02,onion,0.156,16589.0,10995.0,16.9
F0043,F0043-P01,onion,0.269,6735.0,42959.0,46.2
F0286,F0286-P02,onion,0.15,15951.0,10572.0,16.2
F0372,F0372-P01,soybean,3.343,-34830.0,179576.0,185.9
F0158,F0158-P01,groundnut,0.181,12067.0,18642.0,31.3
F0114,F0114-P01,maize,0.584,10083.0,36579.0,32.7
F0006,F0006-P01,maize,0.572,9875.0,35827.0,32.0
F0123,F0123-P01,maize,0.987,388.0,47231.0,52.3
F0183,F0183-P01,maize,0.982,386.0,46992.0,52.0
F0179,F0179-P02,pigeon_pea,0.466,12649.0,14625.0,14.4
F0030,F0030-P01,maize,0.551,9513.0,34512.0,30.9
F0005,F0005-P02,onion,0.239,5984.0,38168.0,41.1
F0103,F0103-P01,maize,0.915,360.0,43785.0,48.5
F0242,F0242-P03,rice,2.528,-30689.0,141088.0,202.0
F0192,F0192-P01,rice,2.512,-30495.0,140195.0,200.7
F0078,F0078-P02,maize,0.904,355.0,43259.0,47.9
F0323,F0323-P01,pigeon_pea,0.429,11645.0,13464.0,13.3
F0142,F0142-P01,maize,0.89,350.0,42589.0,47.2
F0128,F0128-P02,rice,2.466,-29937.0,137627.0,197.0
F0230,F0230-P01,maize,0.887,349.0,42446.0,47.0
F0039,F0039-P01,maize,0.502,8667.0,31443.0,28.1
F0068,F0068-P03,onion,0.125,13292.0,8810.0,13.5
F0453,F0453-P02,maize,0.86,338.0,41154.0,45.6
F0070,F0070-P01,maize,0.858,337.0,41058.0,45.5
F0296,F0296-P01,cotton,0.475,5369.0,27600.0,45.1
F0031,F0031-P03,maize,0.85,334.0,40675.0,45.0
F0050,F0050-P01,maize,0.848,333.0,40579.0,44.9
F0329,F0329-P01,maize,0.481,8304.0,30127.0,26.9
F0141,F0141-P01,maize,0.843,331.0,40340.0,44.7
F0278,F0278-P01,maize,0.475,8201.0,29752.0,26.6
F0392,F0392-P01,maize,0.463,7994.0,29000.0,25.9
F0188,F0188-P04,maize,0.806,317.0,38570.0,42.7
F0313,F0313-P01,maize,0.802,315.0,38378.0,42.5
F0417,F0417-P02,soybean,2.506,-26110.0,134615.0,139.3
F0358,F0358-P02,onion,0.111,11803.0,7823.0,12.0
F0304,F0304-P01,onion,0.193,4832.0,30822.0,33.2
F0368,F0368-P01,pigeon_pea,0.366,9935.0,11487.0,11.3
F0105,F0105-P04,soybean,2.488,-25922.0,133648.0,138.3
